Fecha,Valor
2018-07-26T00:00:00,24.1404
2018-07-27T00:00:00,24.1413
2018-07-30T00:00:00,24.1422
2018-07-31T00:00:00,24.1447
2018-08-01T00:00:00,24.1473
2018-08-02T00:00:00,24.1489
2018-08-03T00:00:00,24.1506
2018-08-06T00:00:00,24.1522
2018-08-07T00:00:00,24.153
2018-08-08T00:00:00,24.1538
2018-08-09T00:00:00,24.1531
2018-08-10T00:00:00,24.1524
2018-08-13T00:00:00,24.1517
2018-08-14T00:00:00,24.1529
2018-08-15T00:00:00,24.1542
2018-08-16T00:00:00,24.1562
2018-08-17T00:00:00,24.1583
2018-08-20T00:00:00,24.1603
2018-08-21T00:00:00,24.1666
2018-08-22T00:00:00,24.1728
2018-08-23T00:00:00,24.177
2018-08-24T00:00:00,24.1812
2018-08-27T00:00:00,24.1853
2018-08-28T00:00:00,24.1906
2018-08-29T00:00:00,24.1958
2018-08-30T00:00:00,24.1969
2018-08-31T00:00:00,24.1979
2018-09-03T00:00:00,24.199
2018-09-04T00:00:00,24.198
2018-09-05T00:00:00,24.197
2018-09-06T00:00:00,24.195
2018-09-07T00:00:00,24.193
2018-09-10T00:00:00,24.1909
2018-09-11T00:00:00,24.1919
2018-09-12T00:00:00,24.1929
2018-09-13T00:00:00,24.1959
2018-09-14T00:00:00,24.1989
2018-09-17T00:00:00,24.202
2018-09-18T00:00:00,24.2085
2018-09-19T00:00:00,24.2151
2018-09-20T00:00:00,24.2186
2018-09-21T00:00:00,24.2221
2018-09-24T00:00:00,24.2255
2018-09-25T00:00:00,24.2272
2018-09-26T00:00:00,24.2288
2018-09-27T00:00:00,24.227
2018-09-28T00:00:00,24.2252
2018-10-08T00:00:00,24.2234
2018-10-09T00:00:00,24.2218
2018-10-10T00:00:00,24.2202
2018-10-11T00:00:00,24.2204
2018-10-12T00:00:00,24.2207
2018-10-15T00:00:00,24.2209
2018-10-16T00:00:00,24.2264
2018-10-17T00:00:00,24.2319
2018-10-18T00:00:00,24.2371
2018-10-19T00:00:00,24.2423
2018-10-22T00:00:00,24.2475
2018-10-23T00:00:00,24.2542
2018-10-24T00:00:00,24.2608
2018-10-25T00:00:00,24.2625
2018-10-26T00:00:00,24.2639
2018-10-29T00:00:00,24.2654
2018-10-30T00:00:00,24.2707
2018-10-31T00:00:00,24.2763
2018-11-01T00:00:00,24.2802
2018-11-02T00:00:00,24.2842
2018-11-05T00:00:00,24.2881
2018-11-06T00:00:00,24.3054
2018-11-07T00:00:00,24.3224
2018-11-08T00:00:00,24.3357
2018-11-09T00:00:00,24.3488
2018-11-12T00:00:00,24.3619
2018-11-13T00:00:00,24.3797
2018-11-14T00:00:00,24.3974
2018-11-15T00:00:00,24.4018
2018-11-16T00:00:00,24.4064
2018-11-19T00:00:00,24.4108
2018-11-20T00:00:00,24.4231
2018-11-21T00:00:00,24.4355
2018-11-22T00:00:00,24.4431
2018-11-23T00:00:00,24.451
2018-11-26T00:00:00,24.4587
2018-11-27T00:00:00,24.4666
2018-11-28T00:00:00,24.4742
2018-11-29T00:00:00,24.4742
2018-11-30T00:00:00,24.4742
2018-12-03T00:00:00,24.4742
2018-12-04T00:00:00,24.4786
2018-12-05T00:00:00,24.4828
2018-12-06T00:00:00,24.4871
2018-12-07T00:00:00,24.4913
2018-12-10T00:00:00,24.4956
2018-12-11T00:00:00,24.4999
2018-12-12T00:00:00,24.5041
2018-12-13T00:00:00,24.5041
2018-12-14T00:00:00,24.5041
2018-12-17T00:00:00,24.5041
2018-12-18T00:00:00,24.5045
2018-12-19T00:00:00,24.505
2018-12-20T00:00:00,24.5054
2018-12-21T00:00:00,24.5058
2018-12-26T00:00:00,24.5073
2018-12-27T00:00:00,24.5082
2018-12-28T00:00:00,24.5087
2018-12-31T00:00:00,24.5092
2019-01-02T00:00:00,24.5092
2019-01-03T00:00:00,24.5097
2019-01-04T00:00:00,24.5096
2019-01-07T00:00:00,24.5095
2019-01-08T00:00:00,24.509
2019-01-09T00:00:00,24.5085
2019-01-10T00:00:00,24.508
2019-01-11T00:00:00,24.5074
2019-01-14T00:00:00,24.5069
2019-01-15T00:00:00,24.5069
2019-01-16T00:00:00,24.5069
2019-01-17T00:00:00,24.5069
2019-01-18T00:00:00,24.5069
2019-01-21T00:00:00,24.5069
2019-01-22T00:00:00,24.5069
2019-01-23T00:00:00,24.5069
2019-01-24T00:00:00,24.5069
2019-01-25T00:00:00,24.5069
2019-01-28T00:00:00,24.5069
2019-01-29T00:00:00,24.5069
2019-01-30T00:00:00,24.5069
2019-01-31T00:00:00,24.5069
2019-02-01T00:00:00,24.5121
2019-02-04T00:00:00,24.5173
2019-02-05T00:00:00,24.5226
2019-02-06T00:00:00,24.5278
2019-02-07T00:00:00,24.533
2019-02-08T00:00:00,24.5383
2019-02-11T00:00:00,24.5435
2019-02-12T00:00:00,24.5435
2019-02-13T00:00:00,24.5435
2019-02-14T00:00:00,24.5435
2019-02-15T00:00:00,24.5493
2019-02-18T00:00:00,24.555
2019-02-19T00:00:00,24.5607
2019-02-20T00:00:00,24.5652
2019-02-21T00:00:00,24.5717
2019-02-22T00:00:00,24.5799
2019-02-25T00:00:00,24.5893
2019-02-26T00:00:00,24.5928
2019-02-27T00:00:00,24.5961
2019-02-28T00:00:00,24.5993
2019-03-01T00:00:00,24.6009
2019-03-04T00:00:00,24.6022
2019-03-05T00:00:00,24.5197
2019-03-06T00:00:00,24.598
2019-03-07T00:00:00,24.5918
2019-03-08T00:00:00,24.5904
2019-03-11T00:00:00,24.5886
2019-03-12T00:00:00,24.588
2019-03-13T00:00:00,24.5868
2019-03-14T00:00:00,24.5883
2019-03-15T00:00:00,24.5913
2019-03-18T00:00:00,24.5919
2019-03-19T00:00:00,24.5962
2019-03-20T00:00:00,24.6001
2019-03-21T00:00:00,24.6037
2019-03-22T00:00:00,24.6066
2019-03-25T00:00:00,24.608
2019-03-26T00:00:00,24.6079
2019-03-27T00:00:00,24.6042
2019-03-28T00:00:00,24.604
2019-03-29T00:00:00,24.6026
2019-04-01T00:00:00,24.5982
2019-04-02T00:00:00,24.5902
2019-04-03T00:00:00,24.593
2019-04-04T00:00:00,24.5895
2019-04-05T00:00:00,24.5937
2019-04-08T00:00:00,24.5971
2019-04-09T00:00:00,24.6005
2019-04-10T00:00:00,24.6045
2019-04-11T00:00:00,24.6056
2019-04-12T00:00:00,24.6066
2019-04-22T00:00:00,24.6129
2019-04-23T00:00:00,24.603
2019-04-24T00:00:00,24.618
2019-04-25T00:00:00,24.6132
2019-04-26T00:00:00,24.6185
2019-04-29T00:00:00,24.6164
2019-04-30T00:00:00,24.609
2019-05-02T00:00:00,24.5962
2019-05-03T00:00:00,24.5988
2019-05-06T00:00:00,24.6084
2019-05-07T00:00:00,24.6037
2019-05-08T00:00:00,24.6131
2019-05-09T00:00:00,24.6127
2019-05-10T00:00:00,24.6214
2019-05-13T00:00:00,24.6209
2019-05-14T00:00:00,24.617
2019-05-15T00:00:00,24.6252
2019-05-16T00:00:00,24.6266
2019-05-17T00:00:00,24.6232
2019-05-20T00:00:00,24.631
2019-05-21T00:00:00,24.6357
2019-05-22T00:00:00,24.6376
2019-05-23T00:00:00,24.6411
2019-05-24T00:00:00,24.646
2019-05-27T00:00:00,24.6487
2019-05-28T00:00:00,24.6524
2019-05-29T00:00:00,24.6554
2019-05-30T00:00:00,24.6572
2019-05-31T00:00:00,24.6591
2019-06-03T00:00:00,24.662
2019-06-04T00:00:00,24.6631
2019-06-05T00:00:00,24.6659
2019-06-06T00:00:00,24.6669
2019-06-07T00:00:00,24.6679
2019-06-10T00:00:00,24.6714
2019-06-11T00:00:00,24.6748
2019-06-12T00:00:00,24.6772
2019-06-13T00:00:00,24.6797
2019-06-14T00:00:00,24.6821
2019-06-17T00:00:00,24.6839
2019-06-18T00:00:00,24.6856
